,User,Partition,Type,Affiliation,Description,Followers
0,algore,0,p,Democrat,"Former Vice President, Senator from Tennessee", 2 987 044 
1,ludacris,1,c,,music,11 646 194
2,whowhatwear,1,m,,"news, fashion",2 172 499
3,billboard,1,m,,"news, entertainment",4 128 761
4,eminem,0,c,,music,20 781 429
5,thehill,1,m,,"news, politics",1 403 577
6,mashable,0,m,,"news, digital/entertainment",7 822 855
7,leodicaprio,1,c,,actor,16 187 169
8,borisjohnson,1,p,Conservative,"Secretary of State for Foreign and Commonwealth Affairs UK, former mayor of London", 252 002 
9,ciara,0,c,,music,7 316 297
10,thereval,0,p,Democrat,"Civil rights activist, White House advisor; former presidential candidate", 505 722 
11,newsweek,0,m,,news,3 021 471
12,marcorubio,0,p,Republican,"Senator from Florida, Presidential Candidate", 1 614 541 
13,johnkasich,0,p,Republican,"Governor of Ohio, presidential candidate", 445 162 
14,tgowdysc,0,p,Republican/Tea Party,Representative for South Carolina, 329 498 
15,digg,1,m,,"news, aggregator",1 530 524
16,nikkihaley,0,p,Republican,Governor of South Carolina, 155 717 
17,freedomworks,1,p,Conservative/Libertarian,Advocacy group associated with Tea Party, 258 619 
18,sengillibrand,1,p,Democrat,Senator from New York, 193 501 
19,jessicasimpson,1,c,,"music, actress, business",7 260 030
20,kyliejenner,1,c,,reality tv,18 244 423
21,beyonce,1,c,,music,14 604 498
22,kendricklamar,0,c,,music,7 197 693
23,austinmahone,1,c,,music,9 622 038
24,bobbyjindal,0,p,Republican,"former Governor of Louisiana, presidential candidate", 243 624 
25,salahitareq,0,p,Republican,"TV personality, candidate for governor/representative of virginia", 364 179 
26,nickiminaj,1,c,,music,20 642 084
27,chrisbrown,1,c,,music,17 678 737
28,billclinton,0,p,Democrat,Former President, 6 074 980 
29,channingtatum,0,c,,actor,8 580 999
30,foxsports,1,m,,sports,1 721 963
31,travelleisure,0,m,,life,2 659 608
32,corybooker,1,p,Democrat,Senator from New Jersey, 1 811 500 
33,kobebryant,0,c,,athlete,10 767 414
34,nasahqphoto,0,p,None,, 2 367 358 
35,arianagrande,1,c,,music,42 217 817
36,latimes,0,m,,news,2 232 928
37,sensanders,0,p,Democrat,Presidential Candidate, 2 611 116 
38,teamcantor,1,p,Republican,Former representative from Virginia, 152 142 
39,danieltosh,1,c,,tv host,25 102 683
40,carlyfiorina,1,p,Republican,"President Candidate, former CEO of HP", 700 707 
41,jcolenc,1,c,,music,8 778 803
42,fastcompany,0,m,,"news, business",2 159 426
43,gabbygiffords,1,p,Democrat,Former representative from Arizona, 198 236 
44,thehermancain,1,p,Republican/Tea Party,Presidential Candidate, 391 180 
45,jimcarrey,1,c,,actor,15 336 262
46,katyperry,0,c,,music,93 369 751
47,kdtrey5,0,c,,athlete,15 060 923
48,pbs,0,m,,news,2 248 400
49,reince,1,p,Republican,"Chairman of RNC, appointed chief of staff by Donald Trump", 492 052 
50,vanityfair,1,m,,"news, entertainment",4 192 283
51,aplusk,0,c,,actor,17 548 621
52,wsj,0,m,,"news, business",11 961 330
53,joebiden,0,p,Democrat,"VP, former Senator from Delaware", 1 252 999 
54,lagarde,0,p,France,"Managing director of IMF, former ministor of France", 370 456 
55,theatlantic,1,m,,news,1 355 557
56,mcfaul,0,p,Democrat,Former US ambassador to Russia, 142 835 
57,nickelodeontv,1,m,,tv,3 978 544
58,senatorreid,1,p,Democrat,"Senator from Nevada, minority leader", 363 022 
59,kevinhart4real,0,c,,actor,30 841 367
60,victoriajustice,1,c,,actress,9 457 260
61,allenwest,0,p,Republican,former representative from Florida, 556 567 
62,discovery,1,m,,tv,5 688 007
63,ryanseacrest,1,c,,tv host,14 961 338
64,speakerryan,0,p,Republican,"House Speaker, Representative from Wisconsin", 867 047 
65,charliesheen,0,c,,actor,11 668 919
66,parentsmagazine,0,m,,life,3 764 262
67,natgeophotos,1,m,,life,2 391 940
68,jimmykimmel,1,c,,tv host,8 007 499
69,georgehwbush,1,p,Republican,Former president, 209 330 
70,people,0,m,,"news, entertainment",7 374 868
71,mariahcarey,1,c,,music,16 689 205
72,ellemagazine,0,m,,"news, fashion",5 992 669
73,foxnews,1,m,,news,11 238 760
74,kimkardashian,1,c,,reality tv,48 376 187
75,astro_jose,0,p,Democrat,"Former astronaut, candidate for California representative", 411 424 
76,wwd,1,m,,"news, fashion",2 946 016
77,usher,1,c,,music,11 402 470
78,thenextweb,0,m,,"news, tech business culture",1 694 885
