,User,Partition,Type
0,algore,2,p
1,ludacris,1,c
2,whowhatwear,2,m
3,billboard,1,m
4,eminem,1,c
5,thehill,0,m
6,mashable,2,m
7,leodicaprio,2,c
8,borisjohnson,2,p
9,ciara,1,c
10,thereval,2,p
11,newsweek,2,m
12,marcorubio,0,p
13,johnkasich,0,p
14,tgowdysc,0,p
15,digg,2,m
16,nikkihaley,0,p
17,freedomworks,0,p
18,sengillibrand,2,p
19,jessicasimpson,1,c
20,kyliejenner,1,c
21,beyonce,1,c
22,kendricklamar,1,c
23,austinmahone,1,c
24,bobbyjindal,0,p
25,pryan,0,p
26,nickiminaj,1,c
27,chrisbrown,1,c
28,billclinton,2,p
29,channingtatum,1,c
30,foxsports,1,m
31,travelleisure,2,m
32,corybooker,2,p
33,kobebryant,1,c
34,nasahqphoto,2,p
35,arianagrande,1,c
36,latimes,2,m
37,sensanders,2,p
38,teamcantor,0,p
39,danieltosh,2,c
40,carlyfiorina,0,p
41,jcolenc,1,c
42,fastcompany,2,m
43,ambassadorrice,2,p
44,gabbygiffords,2,p
45,thehermancain,0,p
46,jimcarrey,1,c
47,katyperry,1,c
48,kdtrey5,1,c
49,pbs,2,m
50,marketwatch,2,m
51,reince,0,p
52,victoriajustice,1,c
53,aplusk,1,c
54,wsj,0,m
55,joebiden,2,p
56,lagarde,2,p
57,theatlantic,2,m
58,louisfarrakhan,2,p
59,nickelodeontv,1,m
60,senatorreid,2,p
61,kevinhart4real,1,c
62,vanityfair,2,m
63,allenwest,0,p
64,discovery,2,m
65,ryanseacrest,1,c
66,speakerryan,0,p
67,charliesheen,1,c
68,parentsmagazine,1,m
69,natgeophotos,2,m
70,jimmykimmel,1,c
71,georgehwbush,0,p
72,people,1,m
73,mariahcarey,1,c
74,ellemagazine,1,m
75,foxnews,0,m
76,kimkardashian,1,c
77,astro_jose,2,p
78,wwd,1,m
79,usher,1,c
80,thenextweb,2,m
81,liltunechi,1,c
82,nbc,1,m
83,gavinnewsom,2,p
84,jlo,1,c
85,iamdiddy,1,c
86,cnni,2,m
87,govmikehuckabee,0,p
88,nancypelosi,2,p
89,espnstatsinfo,2,m
90,abc,0,m
91,cbsnews,0,m
92,oprah,1,c
93,scottwalker,0,p
94,harvardbiz,2,m
